"","FEMALE.NCD.NEG","MALE.NCD.NEG","FEMALE.NCD.DIAB","MALE.NCD.DIAB","FEMALE.NCD.HYP","MALE.NCD.HYP","FEMALE.NCD.DIAB_HYP","MALE.NCD.DIAB_HYP","FEMALE.NCD.DIAB.TRT","MALE.NCD.DIAB.TRT","FEMALE.NCD.HYP.TRT","MALE.NCD.HYP.TRT","FEMALE.NCD.DIAB_HYP.TRT","MALE.NCD.DIAB_HYP.TRT"
"0-4",108239,109971,0,0,0,0,0,0,0,0,0,0,0,0
"5-9",106733,105436,0,0,0,0,0,0,0,0,0,0,0,0
"10-14",94173,92438,0,0,0,0,0,0,0,0,0,0,0,0
"15-19",67114,61204,929,897,22235,20649,654,583,0,0,0,0,0,0
"20-24",56953,53642,775,762,16815,16800,485,472,0,0,0,0,0,0
"25-29",55089,49473,966,833,16404,15781,514,454,0,0,0,0,0,0
"30-34",46729,42146,816,799,15247,14445,496,415,0,0,0,0,0,0
"35-39",35479,32053,737,661,13673,12311,559,496,0,0,0,0,0,0
"40-44",26878,24733,688,614,12226,11540,686,545,0,0,0,0,0,0
"45-49",18428,16816,415,446,11333,10041,469,457,0,0,0,0,0,0
"50-54",14219,9052,358,228,9933,5743,647,285,0,0,0,0,0,0
"55-59",10647,11525,282,342,8058,8883,639,487,0,0,0,0,0,0
"60-64",6575,5546,310,188,7557,6116,524,281,0,0,0,0,0,0
"65-69",4033,3307,167,131,6012,4686,571,334,0,0,0,0,0,0
"70-74",2040,1363,103,77,2792,1816,238,148,0,0,0,0,0,0
"75-79",1198,922,77,55,1527,1252,146,120,0,0,0,0,0,0
"80-85",865,403,55,25,1101,497,128,36,0,0,0,0,0,0
