"","FEMALE.NCD.NEG","MALE.NCD.NEG","FEMALE.NCD.DIAB","MALE.NCD.DIAB","FEMALE.NCD.HYP","MALE.NCD.HYP","FEMALE.NCD.DIAB_HYP","MALE.NCD.DIAB_HYP"
"0-4",108239,109971,0,0,0,0,0,0
"5-9",106733,105436,0,0,0,0,0,0
"10-14",94173,92438,0,0,0,0,0,0
"15-19",67114,61204,22235,20649,929,897,654,583
"20-24",56953,53642,16815,16800,775,762,485,472
"25-29",55089,49473,16404,15781,966,833,514,454
"30-34",46729,42146,15247,14445,816,799,496,415
"35-39",35479,32053,13673,12311,737,661,559,496
"40-44",26878,24733,12226,11540,688,614,686,545
"45-49",18428,16816,11333,10041,415,446,469,457
"50-54",14219,9052,9933,5743,358,228,647,285
"55-59",10647,11525,8058,8883,282,342,639,487
"60-64",6575,5546,7557,6116,310,188,524,281
"65-69",4033,3307,6012,4686,167,131,571,334
"70-74",2040,1363,2792,1816,103,77,238,148
"75-79",1198,922,1527,1252,77,55,146,120
"80-85",865,403,1101,497,55,25,128,36
